Date,Nombre,Protocol,url proof,Chain,Posts
8/16/2023,Ethereum Birthday - Empresarios Web3 ,POAP,https://poap.gallery/drops/147806,Gnosis,https://www.instagram.com/p/Cv_LFbMN56U/?img_index=1
8/19/2023,"Workshop: Set-up en EVM: Una Wallet, un Token y un NFT",POAP,https://poap.gallery/drops/147944,Gnosis,https://www.instagram.com/p/Cwz6uP9u8kS/?img_index=1 
9/21/2023,Ethereum Starter Pack - NFT 101,POAP,https://poap.gallery/drops/150539,Gnosis,https://www.instagram.com/p/CxE1GWYtX8p/?img_index=1
11/3/2023,Data DAY UAO,POAP,https://poap.gallery/drops/157654 ,Gnosis,https://www.instagram.com/p/CzG11AwulFX/
8/9/2025,Destino Devconnect - La Sucursal del Cielo + Ethereum Birthday 2025 10Y,POAP,https://poap.gallery/drops/195225,Base,https://www.youtube.com/watch?v=rzQNoONVrIE
8/22/2025,Curso DEFI USB 2025-2 - Clase VII Infraestructura web3,POAP,https://console.poap.xyz/drops/197326,Base,
8/23/2025,Curso DEFI USB 2025-2 - Clase VII Un Mundo tokenizado,POAP,https://console.poap.xyz/drops/197331,Base,
8/29/2025,Curso DEFI USB 2025-2 - Clase VII Apps and Protocols DeFi,POAP,https://console.poap.xyz/drops/198655,Base,
8/30/2025,Curso DEFI USB 2025-2 - Clase VII TradFi vs Defi + Riesgos y Regulación,POAP,https://console.poap.xyz/drops/198658,Base,
9/5/2025,Curso DEFI USB 2025-2 - Clase VII Daos y governanza,POAP,https://console.poap.xyz/drops/201984,Base,
9/6/2025,Curso DEFI USB 2025-2 - Clase VII Web3 Funding,POAP,https://console.poap.xyz/drops/202090,Base,
9/12/2025,Curso DEFI USB 2025-2 - Clase VII Web3 Funding,POAP,https://console.poap.xyz/drops/205678,Base,
9/13/2025,Curso DEFI USB 2025-2 - Clase VII Mercados con AI,POAP,https://console.poap.xyz/drops/205884,Base,
10/7/2025,Crea tu app en ethereum,POAP,https://poap.gallery/drops/209387,Base,
10/25/2025,"Coworking ETHGlobal x ETHCALI – Cali, 2025",POAP,https://poap.gallery/drops/211588,Base,
12/20/2025,Uniswap Day,POAP,https://collections.poap.xyz/organizations/11745/drops/218106,Unichain,
10/25/2025,Get ready with ETH CALI for Hack money 2026,POAP,https://poap.gallery/drops/224092,Base,
6/8/2025,Papayogin,Unlock Protocol,https://optimistic.etherscan.io/token/0xce984f9e6335198fff193cc0596489dc9e570f3f,Optimism,https://www.instagram.com/p/DKxAt13MgNT/?img_index=1
9/14/2023,Ethereum Starter Pack - Defi ,Unlock Protocol,https://polygonscan.com/token/0x70bd76e89478400d9ee4c0f1200e53e751610ecf,Polygon,https://www.instagram.com/p/CxE1GWYtX8p/?img_index=1
10/12/2023,Ethereum Starter Pack - Seguridad en WEB3,Unlock Protocol,https://optimistic.etherscan.io/token/0xfcf03741a264a00fda35a5814e669968cab95204,Optimism,https://www.instagram.com/p/CxE1GWYtX8p/?img_index=1
11/4/2023,Ramada Cafe Opening,Unlock Protocol,https://polygonscan.com/token/0xc67db733d754753ca19a3502f36756e9e4141cbd,Polygon,https://www.instagram.com/p/Czg86JCgC67/?img_index=1
11/18/2023,Taller Programación de Contratos Inteligentes con Solidity - ICESI,Unlock Protocol,https://polygonscan.com/token/0x2296e9d389a8c7dc2598d197e9fe43ea12052883,Polygon,https://www.instagram.com/p/Cz16mJrA9Jx/?img_index=3
12/16/2023,Proof-of-Stake en Ramada Cafe,Unlock Protocol,https://optimistic.etherscan.io/token/0x9eb1dc77ac01b823f94c25ea054650930a3b7050,Optimism,https://www.instagram.com/p/C05AkIGujWE/?img_index=1
6/21/0204,Drumcode Cali General,Unlock Protocol,https://basescan.org/address/0x1337722f177E99c8Cd490F432A319d8c7a003Ea8,Base,https://www.instagram.com/p/C7cueOyMYb7/
6/21/0204,Drumcode Cali  General Anytime,Unlock Protocol,https://basescan.org/token/0x0eceaa7c20becaf159f362b48b19b3bcb44780bd,Base,https://www.instagram.com/p/C7cueOyMYb7/
6/21/0204,Drumcode Cali  VIP,Unlock Protocol,https://basescan.org/token/0x114f67f5ca3656618dd5648d31e50ac8c0dac046,Base,https://www.instagram.com/p/C7cueOyMYb7/
6/21/0204,Drumcode Cali  Backstage,Unlock Protocol,https://basescan.org/token/0xeeb48f34e083d1c0069593424dc0dd6055fd04e8,Base,https://www.instagram.com/p/C7cueOyMYb7/
5/26/2024,Activacion Discoteca 1060,Unlock Protocol,https://basescan.org/token/0x8dB8003c692d68dD20722EDA6FC4de8708Cd5ED6,Base,
9/28/2024,BASE Community Meetup #1 ,Unlock Protocol,https://basescan.org/token/0x19f7b2834ca07ececefc21202714b3c667588aa9,Base,https://x.com/ethereum_cali/status/1817944044107940245 
12/11/2024,Base Community Meetup #2: Onchain Education with ICESI,Unlock Protocol,https://basescan.org/token/0x19f7b2834ca07ececefc21202714b3c667588aa9,Base,https://x.com/ethereum_cali/status/1856207604307112113 
6/3/2025,"Base Community Meetup #3: Build Digital Portfolios with DeFi & Ethereum""",Unlock Protocol,https://basescan.org/token/0x19f7b2834ca07ececefc21202714b3c667588aa9,Base,https://x.com/ethereum_cali/status/1899697839933956144 
9/20/2024,Financiando tus bienes publicos con Giveth,Unlock Protocol,https://optimistic.etherscan.io/token/0x62a2c557092eafe5c24151ed8e52ecaba6ac44a7,Optimism,https://x.com/ethereum_cali/status/1837170007458918652
6/3/2025,Hackathon WEB3 Cali,Unlock Protocol,https://basescan.org/token/0x2744a0d99fc319c37d72ae9e98cba1b351bc37d5,Base,https://x.com/ethereum_cali/status/1938020882028368119
7/19/2025,Hackathon USC,Unlock Protocol,https://optimistic.etherscan.io/token/0xdf3bed18e02daeb29e2bbc39c04773578d0fd1c8,Optimism,https://x.com/ethereum_cali/status/1946696290424984051
5/17/2025,Open House USB,Unlock Protocol ,https://basescan.org/address/0x7082f47ca600240f41a2fbee26a894d875a63b2f,Base,https://x.com/ethereum_cali/status/1923851977596994032
5/22/2025,Global Pizza Party 2025,Unlock Protocol ,https://app.unlock-protocol.com/event/global-pizza-party-cali,Base,https://www.instagram.com/p/DJib9JetHWs/?img_index=1
